Date,Ticker,Open,High,Low,Close,Volume,Adj Close
28/9/2015,PTR4,"6,74","6,75","6,44","6,44",37466900,"6,44"
29/9/2015,PTR4,"6,54","6,79","6,5","6,59",52387600,"6,59"
30/9/2015,PTR4,"7,25","7,26","6,97","7,24",107779500,"7,24"
1/10/2015,PTR4,"7,31","7,46","6,99","7,02",69296500,"7,02"
2/10/2015,PTR4,"6,99","7,83","6,9","7,77",88891400,"7,77"
5/10/2015,PTR4,"7,9","8,14","7,75","7,82",68350300,"7,82"
6/10/2015,PTR4,"7,86","8,34","7,84","8,19",81259300,"8,19"
7/10/2015,PTR4,"8,51","8,9","8,27","8,47",116610600,"8,47"
8/10/2015,PTR4,"8,46","8,84","8,28","8,75",68670000,"8,75"
9/10/2015,PTR4,"9,02","9,07","8,58","8,8",71885200,"8,8"
13/10/2015,PTR4,"8,36","8,47","8,07","8,13",56100600,"8,13"
14/10/2015,PTR4,"8,07","8,23","7,89","7,96",75339100,"7,96"
15/10/2015,PTR4,8,"8,07","7,67",8,61444100,8
16/10/2015,PTR4,"7,99","8,08","7,81","7,95",42963800,"7,95"
19/10/2015,PTR4,"7,9","7,96","7,76","7,95",40096200,"7,95"
20/10/2015,PTR4,8,"8,19","7,97","8,05",47938700,"8,05"
21/10/2015,PTR4,"7,95","8,06","7,71","7,75",45394400,"7,75"
22/10/2015,PTR4,"7,82","8,11","7,81","8,02",46174500,"8,02"
23/10/2015,PTR4,"8,26","8,28","7,94","7,99",45715300,"7,99"
26/10/2015,PTR4,"8,05","8,13","7,8","7,85",35069500,"7,85"
27/10/2015,PTR4,"7,86","7,86","7,55","7,6",44085700,"7,6"
28/10/2015,PTR4,"7,61","7,95","7,52","7,7",56685500,"7,7"
29/10/2015,PTR4,"7,57","7,93","7,57","7,61",41336300,"7,61"
30/10/2015,PTR4,"7,6","7,78","7,54","7,71",36951300,"7,71"
3/11/2015,PTR4,"7,84","8,48","7,77","8,48",60306200,"8,48"
4/11/2015,PTR4,"8,58","8,65","8,02","8,08",55661500,"8,08"
5/11/2015,PTR4,"8,08","8,17","7,87","8,11",92690300,"8,11"
6/11/2015,PTR4,"8,04","8,08","7,73","7,82",39680600,"7,82"
9/11/2015,PTR4,"7,83","7,93","7,59","7,91",36340400,"7,91"
10/11/2015,PTR4,"7,6","7,69","7,51","7,61",34554300,"7,61"
11/11/2015,PTR4,"7,71","7,83","7,64","7,72",44596400,"7,72"
12/11/2015,PTR4,"7,72","7,74","7,53","7,58",41641400,"7,58"
13/11/2015,PTR4,"7,5","7,56","7,23","7,27",67000600,"7,27"
16/11/2015,PTR4,"7,31","7,7","7,31","7,7",56587800,"7,7"
17/11/2015,PTR4,"7,8","7,86","7,64","7,76",52072800,"7,76"
18/11/2015,PTR4,"7,81","8,03","7,79","7,82",38137700,"7,82"
19/11/2015,PTR4,"7,96","7,98","7,62","7,84",51878600,"7,84"
23/11/2015,PTR4,"7,9","8,1","7,85","8,08",47415800,"8,08"
24/11/2015,PTR4,"8,05","8,5","7,95","8,5",63001700,"8,5"
25/11/2015,PTR4,"8,28","8,35","7,9","7,9",54732800,"7,9"
26/11/2015,PTR4,"7,95","8,04","7,82","7,92",21697100,"7,92"
27/11/2015,PTR4,"7,81","7,86","7,57","7,6",38334200,"7,6"
30/11/2015,PTR4,"7,54","7,84","7,42","7,67",72764300,"7,67"
